kind,tech,capacityKW,hours,tempC,loadPct,efficiencyPct,src
production,Hydro-Kaplan,446.6,6.9,29.3,43.7,93.1,synth
storage,Li-ion NMC,483.0,16.1,15.9,20.2,86.13,synth
production,Hydro-Kaplan,13.5,4.4,19.2,77.3,90.15,synth
storage,Li-ion NMC,370.5,16.4,28.9,46.3,89.2,synth
distribution,HV-220kV line,92.3,12.4,23.3,37.9,95.84,synth
storage,Lead-Acid,430.1,11.6,35.7,92.6,73.22,synth
distribution,HVDC link,357.3,8.1,28.2,83.9,97.66,synth
distribution,HV-132kV line,253.5,12.7,18.0,38.0,92.01,synth
production,Wind-DirectDrive 4MW,385.8,15.6,19.4,22.9,94.36,synth
storage,Solid-State pilot,20.1,14.2,19.6,84.4,95.96,synth
production,Wind-Geared 2MW,46.9,9.1,43.0,27.7,85.66,synth
storage,Li-ion LFP,194.1,15.6,16.7,35.3,90.64,synth
distribution,LV-11kV line,220.3,11.9,26.9,73.8,84.42,synth
production,Hydro-Francis,32.6,14.8,19.7,84.1,83.86,synth
distribution,LV-11kV line,80.9,11.9,18.3,56.5,83.18,synth
storage,Solid-State pilot,79.0,8.7,34.0,22.3,97.17,synth
storage,Li-ion LFP,372.3,5.7,20.7,80.2,93.66,synth
storage,Li-ion LFP,216.8,5.4,41.1,74.8,92.25,synth
production,Solar-PERC 450W,429.4,17.4,30.6,53.9,83.12,synth
distribution,HV-132kV line,175.5,1.9,26.3,84.3,92.36,synth
production,Wind-Geared 2MW,209.7,7.0,16.6,84.7,86.26,synth
production,Solar-PERC 450W,143.8,11.9,29.6,54.9,81.83,synth
production,Hydro-Francis,188.9,2.7,33.9,49.5,86.43,synth
storage,Lead-Acid,45.1,11.5,30.9,76.5,76.51,synth
storage,Lead-Acid,364.8,18.7,15.2,47.4,73.82,synth
distribution,HV-132kV line,183.8,8.1,19.5,95.7,93.4,synth
distribution,LV-11kV line,135.4,11.8,31.2,31.7,85.62,synth
production,Solar-TOPCon 580W,113.0,8.0,24.4,66.9,91.14,synth
distribution,HVDC link,95.5,10.4,36.4,66.7,94.99,synth
distribution,HV-220kV line,46.7,7.6,21.6,80.6,99,synth
distribution,HV-220kV line,111.0,14.6,16.5,42.7,94.78,synth
distribution,LV-11kV line,425.2,8.1,26.8,48.7,85.28,synth
production,Wind-DirectDrive 4MW,438.3,3.2,31.9,74.7,93.28,synth
storage,Lead-Acid,278.2,3.4,18.0,27.4,73.36,synth
distribution,HV-220kV line,134.0,5.7,22.0,88.9,93.91,synth
production,Solar-TOPCon 580W,122.3,11.7,38.3,33.4,90.27,synth
production,Wind-Geared 2MW,225.0,2.2,20.7,38.7,87.15,synth
production,Wind-Geared 2MW,455.0,4.9,38.7,34.3,83.75,synth
distribution,LV-11kV line,380.0,9.7,21.0,58.8,81.21,synth
production,Solar-PERC 450W,430.1,20.0,29.6,54.0,82.48,synth
production,Wind-Geared 2MW,320.1,6.3,37.7,78.6,81.97,synth
distribution,LV-11kV line,107.7,16.1,17.7,91.1,85.32,synth
storage,Flow-Vanadium,83.4,11.6,34.9,27.8,75.01,synth
storage,Li-ion NMC,344.0,1.9,40.6,80.8,87.15,synth
distribution,HV-220kV line,119.6,10.0,21.3,79.1,94.2,synth
distribution,HV-220kV line,225.2,2.0,25.4,60.3,95.36,synth
storage,Flow-Vanadium,188.0,6.0,32.9,41.6,78.39,synth
distribution,HVDC link,370.2,15.6,37.3,62.9,94.17,synth
storage,Flow-Vanadium,7.0,9.2,19.7,36.8,76.04,synth
production,Solar-PERC 450W,166.8,8.7,30.4,51.0,83.06,synth
distribution,LV-11kV line,436.6,18.3,36.9,21.2,84.0,synth
storage,Lead-Acid,356.9,3.3,35.3,40.2,71.82,synth
storage,Lead-Acid,89.7,5.4,36.2,43.9,72.97,synth
storage,Flow-Vanadium,65.9,2.4,29.7,66.7,76.06,synth
production,Hydro-Francis,498.7,2.2,19.1,84.4,83.71,synth
distribution,HV-132kV line,71.4,3.6,43.2,50.7,93.87,synth
distribution,HV-220kV line,399.5,10.3,41.5,37.4,94.36,synth
storage,Lead-Acid,216.2,2.4,26.3,70.4,74.82,synth
production,Hydro-Francis,286.1,13.5,43.3,25.2,85.29,synth
distribution,HVDC link,137.8,9.0,36.4,39.9,94.99,synth
production,Hydro-Francis,238.4,9.3,18.6,35.3,82.55,synth
storage,Li-ion NMC,219.0,1.3,27.6,98.2,89.42,synth
distribution,LV-11kV line,259.1,17.6,41.6,99.7,85.21,synth
distribution,LV-11kV line,54.5,5.7,43.7,36.3,82.7,synth
production,Solar-TOPCon 580W,43.4,5.8,27.8,25.8,93.64,synth
production,Wind-DirectDrive 4MW,37.1,10.7,35.0,23.1,93.54,synth
storage,Flow-Vanadium,475.6,19.6,28.5,30.8,77.99,synth
distribution,LV-11kV line,180.3,16.5,41.9,80.3,83.05,synth
storage,Lead-Acid,377.7,3.4,26.5,71.3,76.08,synth
distribution,LV-11kV line,436.9,16.3,25.2,86.0,83.0,synth
distribution,HV-220kV line,42.6,19.9,39.9,96.7,95.56,synth
production,Solar-TOPCon 580W,46.7,4.1,21.9,54.3,91.25,synth
production,Hydro-Francis,368.7,12.4,29.1,84.5,84.35,synth
distribution,HV-132kV line,369.5,11.2,30.9,23.0,94.35,synth
storage,Flow-Vanadium,474.8,12.0,29.8,74.0,78.44,synth
distribution,HV-220kV line,213.4,4.6,35.2,75.6,96.82,synth
distribution,HVDC link,163.9,12.9,45.0,56.7,97.5,synth
production,Wind-DirectDrive 4MW,152.1,14.3,36.9,44.9,90.24,synth
distribution,HV-220kV line,278.8,17.0,23.0,72.9,93.71,synth
distribution,HVDC link,70.6,3.4,30.5,76.5,95.73,synth
production,Wind-DirectDrive 4MW,341.4,17.1,15.2,46.5,91.22,synth
distribution,HV-220kV line,350.6,1.3,44.6,34.4,93.82,synth
production,Hydro-Francis,409.9,3.9,26.3,94.7,86.22,synth
storage,Lead-Acid,408.3,4.6,23.0,52.2,74.43,synth
storage,Li-ion NMC,34.4,14.6,20.7,64.6,87.72,synth
distribution,HV-132kV line,389.5,7.6,38.4,73.0,93.45,synth
storage,Flow-Vanadium,100.3,1.4,44.9,66.2,77.21,synth
storage,Li-ion NMC,384.5,18.6,15.9,75.6,87.89,synth
production,Wind-DirectDrive 4MW,246.8,18.1,15.6,44.9,93.97,synth
distribution,HV-220kV line,417.7,4.9,32.9,20.7,95.73,synth
storage,Lead-Acid,312.9,10.7,44.7,50.8,69.78,synth
storage,Solid-State pilot,470.6,7.4,16.0,91.8,92.13,synth
storage,Li-ion LFP,170.2,1.3,43.5,42.5,89.37,synth
distribution,HVDC link,382.9,10.4,42.2,65.1,96.14,synth
production,Wind-DirectDrive 4MW,405.0,4.5,31.8,35.3,92.08,synth
storage,Flow-Vanadium,216.3,17.3,34.6,65.8,77.7,synth
distribution,HVDC link,218.4,5.3,32.7,88.4,97.53,synth
storage,Li-ion NMC,167.5,6.6,43.4,50.1,88.95,synth
storage,Flow-Vanadium,288.8,4.6,36.9,59.2,76.27,synth
distribution,HV-220kV line,391.9,3.3,32.8,69.3,96.7,synth
production,Solar-PERC 450W,313.2,10.9,37.0,66.5,81.71,synth
distribution,HV-220kV line,421.4,14.1,39.2,68.3,94.85,synth
storage,Solid-State pilot,96.5,8.1,22.4,81.8,93.11,synth
storage,Lead-Acid,440.4,14.7,15.7,22.5,72.84,synth
production,Hydro-Francis,113.0,7.4,21.4,53.9,82.89,synth
distribution,HVDC link,434.3,6.0,31.2,40.3,94.95,synth
distribution,HV-132kV line,307.8,16.0,44.5,35.0,91.81,synth
storage,Solid-State pilot,62.3,18.9,39.3,26.7,94.61,synth
production,Wind-Geared 2MW,175.8,9.8,33.6,93.1,84.53,synth
storage,Li-ion NMC,275.0,9.5,40.1,62.8,90.22,synth
production,Wind-DirectDrive 4MW,264.2,3.0,32.7,61.6,90.93,synth
distribution,HV-220kV line,419.4,2.2,18.7,77.6,95.76,synth
production,Solar-PERC 450W,115.1,17.7,18.4,73.2,82.96,synth
distribution,LV-11kV line,234.1,17.1,26.9,42.0,82.16,synth
production,Wind-DirectDrive 4MW,0.49,6.0,30.0,65.0,88.44,upload
production,Solar-TOPCon 580W,0.53,6.0,30.0,65.0,88.05,upload
production,Hydro-Kaplan,0.64,6.0,30.0,65.0,88.54,upload
production,Wind-DirectDrive 4MW,0.46,7.0,30.0,65.0,90.06,upload
production,Solar-TOPCon 580W,0.49,7.0,30.0,65.0,90.38,upload
production,Hydro-Kaplan,0.59,7.0,30.0,65.0,89.59,upload
production,Wind-DirectDrive 4MW,0.43,8.0,30.0,65.0,93.02,upload
production,Solar-TOPCon 580W,0.46,8.0,30.0,65.0,92.39,upload
production,Hydro-Kaplan,0.54,8.0,30.0,65.0,92.59,upload
production,Wind-DirectDrive 4MW,0.62,6.0,30.0,65.0,94.09,upload
production,Solar-TOPCon 580W,0.5,6.0,30.0,65.0,93.33,upload
production,Hydro-Kaplan,0.76,6.0,30.0,65.0,94.3,upload
production,Wind-DirectDrive 4MW,0.42,7.0,30.0,65.0,88.44,upload
production,Solar-TOPCon 580W,0.5,7.0,30.0,65.0,88.57,upload
production,Hydro-Kaplan,0.55,7.0,30.0,65.0,88.31,upload
production,Wind-DirectDrive 4MW,0.4,8.0,30.0,65.0,90.62,upload
production,Solar-TOPCon 580W,0.47,8.0,30.0,65.0,90.43,upload
production,Hydro-Kaplan,0.51,8.0,30.0,65.0,90.69,upload
production,Wind-DirectDrive 4MW,0.58,6.0,30.0,65.0,91.95,upload
production,Solar-TOPCon 580W,0.51,6.0,30.0,65.0,91.5,upload
production,Hydro-Kaplan,0.72,6.0,30.0,65.0,92.59,upload
production,Wind-DirectDrive 4MW,0.53,7.0,30.0,65.0,94.34,upload
production,Solar-TOPCon 580W,0.47,7.0,30.0,65.0,94.22,upload
production,Hydro-Kaplan,0.65,7.0,30.0,65.0,94.51,upload
production,Wind-DirectDrive 4MW,0.37,8.0,30.0,65.0,87.84,upload
production,Solar-TOPCon 580W,0.48,8.0,30.0,65.0,88.54,upload
production,Hydro-Kaplan,0.48,8.0,30.0,65.0,88.54,upload
production,Wind-DirectDrive 4MW,0.54,6.0,30.0,65.0,89.51,upload
production,Solar-TOPCon 580W,0.52,6.0,30.0,65.0,89.74,upload
production,Hydro-Kaplan,0.69,6.0,30.0,65.0,89.37,upload
